id,treatment,sex,prl,cort,p4,e2t
o152.o120.w42,n5,male,61.03,1.305278351,0.790393637,0.710021866
x.blu30,n5,male,56.58,7.234880793,0.568234757,0.24652882
x.o164.w123,n5,male,68.09,3.523276819,0.487439473,0.297432249
x.o68,n5,male,48.13,1.745314479,0.576558294,2.378260474
x.r181,n5,male,82.73,7.385439645,0.605107093,0.398857709
blk4.x,n9,female,59.31,0.518721199,0.41906466,0.439255657
blu36.w16,n9,female,50.03,0.989090059,0.205399526,1.115639537
r.s171.l.w,n9,female,63.7,1.322463365,0.131183411,0.430776758
r95.blu99,n9,female,16.24,2.258741156,1.760396654,0.314926723
x.g4.w50,n9,female,58.86,1.342036007,0.155365355,1.069644604
x.w178,n9,female,54.16,1.649155837,0.414476486,0.330415811
x.w6,n9,female,19.98,0.488561945,0.197984156,0.54253481
x.y138.w176,n9,female,43.35,0.824428331,0.495083426,0.690467479
x.y9,n9,female,55.28,2.638465395,0.384761097,0.322960209
y97.x,n9,female,44.81,0.964546366,0.266476541,0.16872651
blu81.r88,n9,male,42.55,0.994294936,1.593674717,0.345463113
g.s.blk.d,n9,male,39.98,1.305571239,0.950347547,4.321452604
r.y.s007.blk,n9,male,24.28,2.159105618,1.888466383,2.367698806
r195.x,n9,male,43.24,1.731016866,0.268609666,2.000253236
s187.l.o.r,n9,male,39.59,1.874067709,0.118150178,2.366128497
x.blk16,n9,male,53.65,1.195025159,0.278695349,1.789542462
x.blu23.w14,n9,male,45.02,0.825547481,1.077723333,0.36001096
x.o2,n9,male,10.36,4.581648762,0.950347547,2.327829533
y129.x,n9,male,21.62,2.341259742,1.090920068,4.218193517
y131.w185.x,n9,male,30.91,1.616936803,1.28654068,3.1817226
NA,control,female,34.14090909,1.583342913,1.356917476,0.03796287
NA,control,female,19.59,6.80887405,1.356917476,0.052345272
NA,bldg,female,35.33,0.523844389,0.153308032,0.156692959
NA,inc.d9,male,23.46,0.775196473,0.256210537,0.327482391
NA,inc.d9,male,16.4,1.674053838,1.018584871,1.164142765
NA,n5,female,79.33,0.581257229,0.226799374,0.148595636
