"","sex","tissue","comparison","direction","gene","lfc","padj","logpadj"
"5455","female","pituitary","lo vs. hi PRL   ","lo","KIAA0319L",-0.153201912125204,0.0618133693582615,1.20891758299257
"5456","female","pituitary","lo vs. hi PRL   ","lo","SAP130",-0.153247621697309,0.0774767895226705,1.11082838384188
"5457","female","pituitary","lo vs. hi PRL   ","lo","RAD51D",-0.15336305635764,0.0718464808154029,1.14359449962275
"5458","female","pituitary","lo vs. hi PRL   ","lo","SLC16A9",-0.153428077529514,0.0849755294659263,1.07070612073238
"5459","female","pituitary","lo vs. hi PRL   ","lo","KATNAL1",-0.153491895492191,0.00905663226709405,2.04303326586816
"5460","female","pituitary","lo vs. hi PRL   ","lo","TMEM183A",-0.153609258045862,0.0830814345428822,1.08049601323613
"5461","female","pituitary","lo vs. hi PRL   ","lo","CHMP1A",-0.154330254586248,0.0404108203092657,1.39350233361645
"5462","female","pituitary","lo vs. hi PRL   ","lo","LOC101749275",-0.154813620045779,0.0195018645281149,1.70992386476256
"5463","female","pituitary","lo vs. hi PRL   ","lo","MSL2",-0.154913320840755,0.0178207741914424,1.74907343274764
"5464","female","pituitary","lo vs. hi PRL   ","lo","SNRNP40",-0.155184693985611,0.0811562690563684,1.09067792671356
"5465","female","pituitary","lo vs. hi PRL   ","lo","FHDC1",-0.155204687737048,0.0362404830412325,1.44080602234336
"5466","female","pituitary","lo vs. hi PRL   ","lo","SARNP",-0.155231190240181,0.00291357072043474,2.53557443591541
"5467","female","pituitary","lo vs. hi PRL   ","lo","TULP4",-0.155236006876934,0.0374359900319313,1.42671067703523
"5468","female","pituitary","lo vs. hi PRL   ","lo","STARD3",-0.155457141143071,0.0752276492823394,1.12362250882629
"5469","female","pituitary","lo vs. hi PRL   ","lo","JOSD1",-0.155828923629289,0.0493355684896768,1.30683986309342
"5470","female","pituitary","lo vs. hi PRL   ","lo","DNAJB12",-0.155869171529456,0.00275097564226101,2.56051325493146
"5471","female","pituitary","lo vs. hi PRL   ","lo","SYNRG",-0.156021037108567,0.060627315952515,1.21733165810207
"5472","female","pituitary","lo vs. hi PRL   ","lo","UBXN6",-0.156384307515142,0.00658830163066014,2.18122652584525
"5473","female","pituitary","lo vs. hi PRL   ","lo","PRPF3",-0.156445824279173,0.0182638315849752,1.73840810622945
"5474","female","pituitary","lo vs. hi PRL   ","lo","LRRC41",-0.156699899250978,0.0430911332780848,1.36561208400524
"5475","female","pituitary","lo vs. hi PRL   ","lo","FOXO4",-0.15673103503171,0.0278550193621221,1.55509653532481
"5476","female","pituitary","lo vs. hi PRL   ","lo","IPP",-0.156739112922618,0.00967914529206518,2.01416299096932
"5477","female","pituitary","lo vs. hi PRL   ","lo","SNIP1",-0.15675712249841,0.0224446079155516,1.64888797687849
"5478","female","pituitary","lo vs. hi PRL   ","lo","KDM2B",-0.156929409929103,0.0209138437821587,1.6795661403068
"5479","female","pituitary","lo vs. hi PRL   ","lo","SLC2A13",-0.157036205890493,0.0667403789796528,1.17561133156938
