"","sex","tissue","treatment","gene","samples","counts"
"1","female","gonad","control","AVPR1B","R.R20_female_gonad_control",5.09421239201709
"2","female","gonad","inc.d9","AVPR1B","blk.s061.pu.y_female_gonad_inc.d9",4.88360342029804
"3","female","gonad","n9","AVPR1B","blk4.x_female_gonad_n9",4.53165886927067
"4","female","gonad","hatch","AVPR1B","blu124.w180.x_female_gonad_hatch",4.88363703288032
"5","female","gonad","inc.d3","AVPR1B","blu39.o26.x_female_gonad_inc.d3",4.53165886927067
"6","female","gonad","lay","AVPR1B","g.blk.s004.pk_female_gonad_lay",4.82001393558522
"7","female","gonad","bldg","AVPR1B","g141.blu27.x_female_gonad_bldg",4.91167635994292
"8","female","gonad","inc.d9","AVPR1B","g75.x_female_gonad_inc.d9",4.53165886927067
"9","female","gonad","inc.d3","AVPR1B","o165.w122.x_female_gonad_inc.d3.NYNO",4.53165886927067
"10","female","gonad","inc.d17","AVPR1B","o35.r51.x_female_gonad_inc.d17",4.74966010667169
"11","female","gonad","inc.d9","AVPR1B","o73.x_female_gonad_inc.d9",4.53165886927067
"12","female","gonad","bldg","AVPR1B","r.s056.g.o_female_gonad_bldg",4.53165886927067
"13","female","gonad","inc.d3","AVPR1B","r27.w111.blu125_female_gonad_inc.d3",4.53165886927067
"14","female","gonad","inc.d17","AVPR1B","r49.w189.x_female_gonad_inc.d17",4.83068773304297
"15","female","gonad","bldg","AVPR1B","r83.g45_female_gonad_bldg",4.53165886927067
"16","female","gonad","control","AVPR1B","s.x.ATLAS_female_gonad_control",4.80788068554544
"17","female","gonad","lay","AVPR1B","s095.g.blk.o_female_gonad_lay",4.53165886927067
"18","female","gonad","lay","AVPR1B","s176.blk.pu.r_female_gonad_lay",4.53165886927067
"19","female","gonad","inc.d3","AVPR1B","x.blu102.w105_female_gonad_inc.d3",4.53165886927067
"20","female","gonad","inc.d9","AVPR1B","x.blu122.r66_female_gonad_inc.d9",4.88272206598788
"21","female","gonad","control","AVPR1B","x.g.g.ATLAS_female_gonad_control",4.78599035912962
"22","female","gonad","n5","AVPR1B","x.g43_female_gonad_n5",4.53165886927067
"23","female","gonad","inc.d17","AVPR1B","x.o159.w90_female_gonad_inc.d17",4.53165886927067
"24","female","gonad","n5","AVPR1B","x.o70_female_gonad_n5",4.53165886927067
"25","female","gonad","hatch","AVPR1B","x.r44.w95_female_gonad_hatch",4.53165886927067
"26","female","gonad","n9","AVPR1B","x.w178_female_gonad_n9",4.53165886927067
"27","female","gonad","inc.d9","AVPR1B","x.y109_female_gonad_inc.d9",4.86379770964241
"28","female","gonad","inc.d9","AVPR1B","x.y93.g126_female_gonad_inc.d9",4.84584194477639
"29","female","gonad","inc.d17","AVPR1B","y126.w92.x_female_gonad_inc.d17",4.53165886927067
"30","female","gonad","inc.d17","AVPR1B","y130.o170.x_female_gonad_inc.d17",4.53165886927067
"31","female","gonad","inc.d9","AVPR1B","y140.w119.x_female_gonad_inc.d9",4.53165886927067
